feature,region,top_count,top_rate,base_rate,fold_enrichment,odds_ratio,p,q
21,intergenic,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
94,exon,30,0.3,0.20001333422228149,1.4999,1.7213564213564214,0.011021326025011728,0.05055654139913637
106,intron,27,0.27,0.19994666311087406,1.3503601200400135,1.484305573480337,0.05507181597448971,0.21758221047884546
161,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
261,intergenic,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
274,intron,39,0.39,0.19994666311087406,1.9505201733911304,2.5787605228179,8.926696742093838e-06,6.081383737331864e-05
326,intergenic,36,0.36,0.20001333422228149,1.79988,2.2649924089068825,0.00013970174627850175,0.0008518399163323278
376,utr3,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
433,exon,50,0.5,0.20001333422228149,2.499833333333333,4.050508474576271,1.780509867634239e-11,1.8419067596216265e-10
472,intron,31,0.31,0.19994666311087406,1.5504134711570523,1.8060324622055548,0.0058820592251719265,0.028697768069575257
522,utr5,46,0.46,0.20001333422228149,2.299846666666667,3.4446074374984326,3.6735515006603255e-09,3.2799566970181476e-08
712,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
756,utr5,50,0.5,0.20001333422228149,2.499833333333333,4.050508474576271,1.780509867634239e-11,1.8419067596216265e-10
793,intron,40,0.4,0.19994666311087406,2.0005335111703904,2.690098006083136,3.2986704006314407e-06,2.3431546017844236e-05
813,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
860,intron,34,0.34,0.19994666311087406,1.7004534844948318,2.073463130461444,0.0007037780328701493,0.004008479600370941
870,intergenic,54,0.54,0.20001333422228149,2.6998200000000003,4.762994775524661,4.591602157658862e-14,5.645412488924831e-13
894,intergenic,59,0.59,0.20001333422228149,2.949803333333333,5.85102130518075,1.0870081165148227e-17,1.5830215289050815e-16
939,intron,55,0.55,0.19994666311087406,2.7507335778592865,4.963201992753623,9.231833133278293e-15,1.1810841397832327e-13
963,intergenic,92,0.92,0.20001333422228149,4.599693333333334,47.41970426409904,5.3866796355020544e-55,3.2320077813012326e-53
976,intron,29,0.29,0.19994666311087406,1.4503867955985328,1.6405415658936786,0.01960614983348503,0.08585732484618237
1027,intergenic,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
1034,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
1061,utr3,38,0.38,0.20001333422228149,1.8998733333333333,2.4700289690923745,2.338330328443679e-05,0.00015451521994121225
1159,exon,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
1273,exon,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
1457,utr5,36,0.36,0.20001333422228149,1.79988,2.2649924089068825,0.00013970174627850175,0.0008518399163323278
1555,exon,53,0.53,0.20001333422228149,2.6498233333333334,4.573392342735851,2.1622344323155772e-13,2.574088609899497e-12
1569,intron,43,0.43,0.19994666311087406,2.1505735245081694,3.047913254041735,1.3089064719282887e-07,1.0491134226027281e-06
1575,intergenic,82,0.82,0.20001333422228149,4.099726666666666,18.704630264260146,1.2745617902607023e-40,4.345097012252394e-39
1782,intron,31,0.31,0.19994666311087406,1.5504134711570523,1.8060324622055548,0.0058820592251719265,0.028697768069575257
1792,utr5,61,0.61,0.20001333422228149,3.0497966666666665,6.364976749461268,2.8983075861631403e-19,4.576275136047063e-18
1805,intergenic,83,0.83,0.20001333422228149,4.149723333333333,20.054971868761218,6.70649726304964e-42,2.3394757894359208e-40
1845,intergenic,37,0.37,0.20001333422228149,1.8498766666666666,2.3658561410839507,5.8333667219193604e-05,0.00037076483402029834
1849,utr5,55,0.55,0.20001333422228149,2.749816666666667,4.961101678928504,9.369934175613647e-15,1.1810841397832327e-13
1869,intron,31,0.31,0.19994666311087406,1.5504134711570523,1.8060324622055548,0.0058820592251719265,0.028697768069575257
1885,intergenic,29,0.29,0.20001333422228149,1.4499033333333333,1.6398519017165938,0.019689946498057824,0.08585732484618237
1926,intron,43,0.43,0.19994666311087406,2.1505735245081694,3.047913254041735,1.3089064719282887e-07,1.0491134226027281e-06
1931,exon,36,0.36,0.20001333422228149,1.79988,2.2649924089068825,0.00013970174627850175,0.0008518399163323278
1948,intron,35,0.35,0.19994666311087406,1.7504668222740913,2.1681978615176996,0.0003189869198611805,0.0018741436049575682
1978,intergenic,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
1989,intergenic,25,0.25,0.20001333422228149,1.2499166666666666,1.3360224089635855,0.13065579178658546,0.47339054995139657
2028,intergenic,74,0.74,0.20001333422228149,3.6997533333333332,11.646274777853725,2.394592512329854e-31,5.986481280824635e-30
2095,intron,42,0.42,0.19994666311087406,2.1005601867289094,2.924469114783156,3.993687275614001e-07,3.11723477774353e-06
2213,intergenic,73,0.73,0.20001333422228149,3.6497566666666668,11.058674663731036,2.6977124832282764e-30,6.322763632566273e-29
2278,utr5,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
2323,utr3,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
2389,intergenic,86,0.86,0.20001333422228149,4.299713333333333,25.264976958525345,6.352285699685473e-46,2.802478985155355e-44
2438,intron,25,0.25,0.19994666311087406,1.2503334444814937,1.3365837256220578,0.1302904545505895,0.47339054995139657
2482,intergenic,89,0.89,0.20001333422228149,4.449703333333334,33.319758908216485,2.8936771555630087e-50,1.607598419757227e-48
2497,utr5,36,0.36,0.20001333422228149,1.79988,2.2649924089068825,0.00013970174627850175,0.0008518399163323278
2503,utr5,24,0.24,0.20001333422228149,1.1999199999999999,1.2651740237691003,0.18843753523436577,0.6424006882989742
2513,intergenic,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
2598,utr5,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
2645,utr5,61,0.61,0.20001333422228149,3.0497966666666665,6.364976749461268,2.8983075861631403e-19,4.576275136047063e-18
2667,exon,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
2668,intergenic,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
2672,intergenic,49,0.49,0.20001333422228149,2.4498366666666667,3.8900206643145228,7.158577877967635e-11,7.111170077451294e-10
2706,exon,33,0.33,0.20001333422228149,1.64989,1.9807735840514313,0.0014981448039075728,0.008231564856635015
2721,intergenic,59,0.59,0.20001333422228149,2.949803333333333,5.85102130518075,1.0870081165148227e-17,1.5830215289050815e-16
2777,exon,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
2787,intergenic,88,0.88,0.20001333422228149,4.399706666666667,30.187042124542124,8.863135295267783e-49,4.431567647633892e-47
2794,intron,36,0.36,0.19994666311087406,1.800480160053351,2.2659466756665543,0.00013872532932979027,0.0008518399163323278
2818,intron,30,0.3,0.19994666311087406,1.5004001333777925,1.722080546600587,0.010970230166984932,0.05055654139913637
2892,intergenic,87,0.87,0.20001333422228149,4.34971,27.53656024716787,2.476888284496722e-47,1.1610413833578385e-45
2975,utr3,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
3006,intergenic,66,0.66,0.20001333422228149,3.29978,7.916215565980994,1.6088383469537196e-23,3.054756354975417e-22
3076,intergenic,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
3124,intergenic,73,0.73,0.20001333422228149,3.6497566666666668,11.058674663731036,2.6977124832282764e-30,6.322763632566273e-29
3132,intergenic,84,0.84,0.20001333422228149,4.19972,21.574331275720166,3.2920412965387614e-43,1.2044053523922297e-41
3321,exon,24,0.24,0.20001333422228149,1.1999199999999999,1.2651740237691003,0.18843753523436577,0.6424006882989742
3361,utr3,42,0.42,0.20001333422228149,2.09986,2.923235643841365,4.031623645881632e-07,3.11723477774353e-06
3368,intron,26,0.26,0.19994666311087406,1.3003467822607537,1.4094235506949937,0.08654189496969733,0.32967844354586523
3399,intergenic,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
3402,utr5,55,0.55,0.20001333422228149,2.749816666666667,4.961101678928504,9.369934175613647e-15,1.1810841397832327e-13
3426,utr5,44,0.44,0.20001333422228149,2.1998533333333334,3.174487724724531,4.165498507714638e-08,3.490641207582099e-07
3498,intergenic,47,0.47,0.20001333422228149,2.3498433333333333,3.587410308672345,1.0282523701764968e-09,9.579991026489102e-09
3596,intergenic,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
3610,exon,26,0.26,0.20001333422228149,1.2999133333333335,1.4088314945746014,0.08681532346707785,0.32967844354586523
3613,intergenic,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
3617,utr5,85,0.85,0.20001333422228149,4.249716666666666,23.296512292738708,1.502532357546072e-44,6.2605514897753e-43
3633,intergenic,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
3719,intergenic,65,0.65,0.20001333422228149,3.2497833333333332,7.570309077634461,1.244723025876583e-22,2.2494994443552704e-21
3749,exon,30,0.3,0.20001333422228149,1.4999,1.7213564213564214,0.011021326025011728,0.05055654139913637
3754,utr3,63,0.63,0.20001333422228149,3.14979,6.934875631504845,6.5402803861419674e-21,1.127634549334822e-19
3765,exon,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
3808,exon,26,0.26,0.20001333422228149,1.2999133333333335,1.4088314945746014,0.08681532346707785,0.32967844354586523
3829,intergenic,84,0.84,0.20001333422228149,4.19972,21.574331275720166,3.2920412965387614e-43,1.2044053523922297e-41
3855,utr5,62,0.62,0.20001333422228149,3.0997933333333334,6.642381140052309,4.44647421145177e-20,7.329353095799621e-19
3885,intergenic,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
3887,intergenic,42,0.42,0.20001333422228149,2.09986,2.923235643841365,4.031623645881632e-07,3.11723477774353e-06
3903,utr3,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
3921,intron,30,0.3,0.19994666311087406,1.5004001333777925,1.722080546600587,0.010970230166984932,0.05055654139913637
3936,intergenic,95,0.95,0.20001333422228149,4.7496833333333335,78.44612736660929,3.0778472470554007e-60,2.3083854352915503e-58
4027,utr3,47,0.47,0.20001333422228149,2.3498433333333333,3.587410308672345,1.0282523701764968e-09,9.579991026489102e-09
4113,intergenic,81,0.81,0.20001333422228149,4.04973,17.49661924595662,2.2664287696866322e-39,7.554762565622108e-38
4114,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
4208,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
4250,exon,42,0.42,0.20001333422228149,2.09986,2.923235643841365,4.031623645881632e-07,3.11723477774353e-06
4268,intergenic,50,0.5,0.20001333422228149,2.499833333333333,4.050508474576271,1.780509867634239e-11,1.8419067596216265e-10
4285,intergenic,95,0.95,0.20001333422228149,4.7496833333333335,78.44612736660929,3.0778472470554007e-60,2.3083854352915503e-58
4332,exon,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
4445,exon,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
4460,utr5,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
4497,utr5,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
4572,intergenic,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
4601,intergenic,28,0.28,0.20001333422228149,1.3999066666666669,1.5606587408404367,0.033703049557503015,0.14121389479400706
4659,intergenic,71,0.71,0.20001333422228149,3.549763333333333,10.005415523716461,2.948116463287649e-28,6.60026073870369e-27
4661,intergenic,54,0.54,0.20001333422228149,2.6998200000000003,4.762994775524661,4.591602157658862e-14,5.645412488924831e-13
4687,utr5,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
4704,intergenic,26,0.26,0.20001333422228149,1.2999133333333335,1.4088314945746014,0.08681532346707785,0.32967844354586523
4768,intergenic,65,0.65,0.20001333422228149,3.2497833333333332,7.570309077634461,1.244723025876583e-22,2.2494994443552704e-21
4777,intron,32,0.32,0.19994666311087406,1.600426808936312,1.8925038164912071,0.003022945755957822,0.015996766623188427
4799,utr5,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
4808,utr5,46,0.46,0.20001333422228149,2.299846666666667,3.4446074374984326,3.6735515006603255e-09,3.2799566970181476e-08
4876,intergenic,46,0.46,0.20001333422228149,2.299846666666667,3.4446074374984326,3.6735515006603255e-09,3.2799566970181476e-08
4959,intergenic,98,0.98,0.20001333422228149,4.899673333333333,202.5682288077188,2.848613336815937e-66,3.286861542479927e-64
4986,utr5,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
5003,intergenic,56,0.56,0.20001333422228149,2.7998133333333337,5.168292984189724,1.837150048230612e-15,2.438694754288423e-14
5026,utr5,55,0.55,0.20001333422228149,2.749816666666667,4.961101678928504,9.369934175613647e-15,1.1810841397832327e-13
5062,intergenic,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
5096,intron,29,0.29,0.19994666311087406,1.4503867955985328,1.6405415658936786,0.01960614983348503,0.08585732484618237
5119,intergenic,49,0.49,0.20001333422228149,2.4498366666666667,3.8900206643145228,7.158577877967635e-11,7.111170077451294e-10
5121,intergenic,30,0.3,0.20001333422228149,1.4999,1.7213564213564214,0.011021326025011728,0.05055654139913637
5142,exon,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
5145,utr5,53,0.53,0.20001333422228149,2.6498233333333334,4.573392342735851,2.1622344323155772e-13,2.574088609899497e-12
5146,intergenic,38,0.38,0.20001333422228149,1.8998733333333333,2.4700289690923745,2.338330328443679e-05,0.00015451521994121225
5191,intergenic,47,0.47,0.20001333422228149,2.3498433333333333,3.587410308672345,1.0282523701764968e-09,9.579991026489102e-09
5219,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
5248,intergenic,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
5284,intergenic,83,0.83,0.20001333422228149,4.149723333333333,20.054971868761218,6.70649726304964e-42,2.3394757894359208e-40
5333,utr5,78,0.78,0.20001333422228149,3.89974,14.532480866156432,8.766458301602993e-36,2.578370088706763e-34
5341,intergenic,40,0.4,0.20001333422228149,1.9998666666666667,2.688963963963964,3.3272795345338815e-06,2.3431546017844236e-05
5361,intergenic,69,0.69,0.20001333422228149,3.4497699999999996,9.088519826988477,2.657267134906852e-26,5.6941438605146825e-25
5363,exon,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
5371,intergenic,60,0.6,0.20001333422228149,2.9998,6.101530612244898,1.8120180970436118e-18,2.6911159857083346e-17
5373,intergenic,58,0.58,0.20001333422228149,2.8998066666666666,5.612524683564792,6.258953644286107e-17,8.941362348980151e-16
5396,exon,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
5523,utr5,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
5614,intergenic,28,0.28,0.20001333422228149,1.3999066666666669,1.5606587408404367,0.033703049557503015,0.14121389479400706
5617,intergenic,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
5642,intergenic,45,0.45,0.20001333422228149,2.24985,3.307060452238117,1.2616867994903968e-08,1.0876610340434454e-07
5659,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
5714,intergenic,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
5718,intergenic,89,0.89,0.20001333422228149,4.449703333333334,33.319758908216485,2.8936771555630087e-50,1.607598419757227e-48
5743,intergenic,79,0.79,0.20001333422228149,3.949736666666667,15.426256500546128,5.930646326002224e-37,1.7791938978006671e-35
5983,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
6016,intergenic,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
6024,utr3,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
6049,utr5,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
