feature,target_region,fold_enrichment,q_annotation,total_acc,total_acc_drop,acc_exon,drop_exon,acc_intergenic,drop_intergenic,acc_intron,drop_intron,acc_utr3,drop_utr3,acc_utr5,drop_utr5
5363,exon,2.8498099999999997,4.675936422782193e-15,0.6074418604651163,0.004961240310077497,0.4482269503546099,0.04397163120567377,0.8631790744466801,-0.024144869215291798,0.42153846153846153,-0.05384615384615382,0.6451149425287356,0.03879310344827591,0.725258493353028,0.00738552437223039
1555,exon,2.6498233333333334,2.574088609899497e-12,0.6120930232558139,0.00031007751937983663,0.5177304964539007,-0.025531914893617003,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
11123,exon,2.54983,4.5615474121245605e-11,0.6114728682170543,0.0009302325581395099,0.5148936170212766,-0.022695035460992885,0.8611670020120724,-0.02213279678068414,0.39076923076923076,-0.02307692307692305,0.6307471264367817,0.053160919540229834,0.7208271787296898,0.011816838995568624
433,exon,2.499833333333333,1.8419067596216263e-10,0.6111627906976744,0.0012403100775193465,0.5120567375886524,-0.019858156028368767,0.8611670020120724,-0.02213279678068414,0.3923076923076923,-0.024615384615384595,0.6307471264367817,0.053160919540229834,0.7208271787296898,0.011816838995568624
11219,exon,2.4498366666666667,7.111170077451294e-10,0.6105426356589148,0.0018604651162790198,0.5092198581560283,-0.01702127659574465,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.6336206896551724,0.050287356321839116,0.7208271787296898,0.011816838995568624
4208,intergenic,4.999666666666666,8.372159474794789e-69,0.6120930232558139,0.00031007751937983663,0.5205673758865248,-0.02836879432624112,0.8571428571428571,-0.01810865191146882,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
712,intergenic,4.999666666666666,8.372159474794789e-69,0.6105426356589148,0.0018604651162790198,0.5177304964539007,-0.025531914893617003,0.8470824949698189,-0.008048289738430636,0.39076923076923076,-0.02307692307692305,0.6336206896551724,0.050287356321839116,0.7208271787296898,0.011816838995568624
5983,intergenic,4.999666666666666,8.372159474794789e-69,0.6120930232558139,0.00031007751937983663,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7193500738552437,0.013293943870014702
10216,intergenic,4.999666666666666,8.372159474794789e-69,0.6120930232558139,0.00031007751937983663,0.5191489361702127,-0.02695035460992906,0.8591549295774648,-0.02012072434607648,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
5659,intergenic,4.999666666666666,8.372159474794789e-69,0.6136434108527132,-0.0012403100775194575,0.5205673758865248,-0.02836879432624112,0.8591549295774648,-0.02012072434607648,0.39076923076923076,-0.02307692307692305,0.6350574712643678,0.048850574712643646,0.7223042836041359,0.010339734121122546
939,intron,2.7507335778592865,1.181084139783233e-13,0.6127131782945736,-0.00031007751937983663,0.548936170212766,-0.056737588652482296,0.8651911468812877,-0.026156941649899457,0.36153846153846153,0.006153846153846176,0.6293103448275862,0.054597701149425304,0.7178729689807977,0.01477104874446078
1569,intron,2.1505735245081694,1.049113422602728e-06,0.6117829457364341,0.0006201550387596733,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3861538461538462,-0.018461538461538474,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
1926,intron,2.1505735245081694,1.049113422602728e-06,0.6130232558139534,-0.0006201550387596733,0.5276595744680851,-0.035460992907801414,0.8611670020120724,-0.02213279678068414,0.3830769230769231,-0.015384615384615385,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
2095,intron,2.1005601867289094,3.11723477774353e-06,0.6136434108527132,-0.0012403100775194575,0.526241134751773,-0.034042553191489355,0.8611670020120724,-0.02213279678068414,0.38461538461538464,-0.01692307692307693,0.6350574712643678,0.048850574712643646,0.7208271787296898,0.011816838995568624
7981,intron,2.05054684894965,8.645813355009845e-06,0.6127131782945736,-0.00031007751937983663,0.5134751773049645,-0.021276595744680826,0.8631790744466801,-0.024144869215291798,0.3861538461538462,-0.018461538461538474,0.6422413793103449,0.04166666666666663,0.7193500738552437,0.013293943870014702
6386,utr3,3.349776666666667,3.875672034998376e-23,0.6114728682170543,0.0009302325581395099,0.5205673758865248,-0.02836879432624112,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.6264367816091954,0.05747126436781613,0.7208271787296898,0.011816838995568624
3754,utr3,3.14979,1.127634549334822e-19,0.6124031007751938,0.0,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
8264,utr3,2.7998133333333337,2.438694754288423e-14,0.6124031007751938,0.0,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.632183908045977,0.051724137931034475,0.7208271787296898,0.011816838995568624
9310,utr3,2.6498233333333334,2.574088609899497e-12,0.6120930232558139,0.00031007751937983663,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.39076923076923076,-0.02307692307692305,0.6278735632183908,0.05603448275862066,0.7223042836041359,0.010339734121122546
6024,utr3,2.599826666666667,1.1037075298509724e-11,0.6111627906976744,0.0012403100775193465,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3892307692307692,-0.021538461538461506,0.6264367816091954,0.05747126436781613,0.7208271787296898,0.011816838995568624
3617,utr5,4.249716666666666,6.260551489775299e-43,0.6093023255813953,0.0031007751937984773,0.5205673758865248,-0.02836879432624112,0.8672032193158954,-0.028169014084507116,0.38769230769230767,-0.019999999999999962,0.632183908045977,0.051724137931034475,0.7016248153618907,0.03101920236336775
12172,utr5,4.19972,1.2044053523922295e-41,0.6124031007751938,0.0,0.5205673758865248,-0.02836879432624112,0.8611670020120724,-0.02213279678068414,0.38769230769230767,-0.019999999999999962,0.6336206896551724,0.050287356321839116,0.7193500738552437,0.013293943870014702
5333,utr5,3.89974,2.5783700887067633e-34,0.6089922480620155,0.003410852713178314,0.5205673758865248,-0.02836879432624112,0.8651911468812877,-0.026156941649899457,0.3861538461538462,-0.018461538461538474,0.6350574712643678,0.048850574712643646,0.7001477104874446,0.032496307237813826
12140,utr5,3.8497433333333335,3.336625684168842e-33,0.5869767441860465,0.02542635658914727,0.5347517730496454,-0.04255319148936171,0.8672032193158954,-0.028169014084507116,0.3984615384615385,-0.03076923076923077,0.6522988505747126,0.031609195402298895,0.5494830132939439,0.18316100443131456
10842,utr5,3.699753333333333,5.986481280824635e-30,0.6120930232558139,0.00031007751937983663,0.5191489361702127,-0.02695035460992906,0.8611670020120724,-0.02213279678068414,0.3923076923076923,-0.024615384615384595,0.6336206896551724,0.050287356321839116,0.7149187592319055,0.017725258493352936
